sku,Товар,Цена Kaspi,Продавать
00676040,"Подушка ""EVER CLASSIC"" XL 60-40-17 60*40",25000,да
00696141,"Подушка ""EVER GRACE GEL""l 41-61-13 61*41",26500,да
00716040,"Подушка ""EVER WAVE GEL"" M 36-62-11 60*40",26300,да
00713662,"Подушка ""EVER WAVE GEL"" M 36-62-11 36*62",24300,да
00726040,"Подушка ""EVER WAVE "" L 40-60-12 60*40",25400,да
0076180200,"Простыня натяжная Stretch Jersy на резинке цвет ГРАФИТ 1,80*2,00",12200,да
0076200200,"Простыня натяжная Stretch Jersy на резинке цвет ГРАФИТ 2,00*2,00",13000,да
0078160200,"Простыня натяжная Stretch Jersy на резинке цвет МОЛОЧНЫЙ 1,60*2,00",11600,да
0078200200,"Простыня натяжная Stretch Jersy на резинке цвет МОЛОЧНЫЙ 2,00*2,00",13000,да
0079180200,"Топпер Bamboo 1,80*2,00",37400,да
0081180200,"Топпер (Bed Story) F 2308093 1,80*2,00",69600,да
0082160200,"Топпер (Bed Story) F 2308091 1,60*2,00",46400,да
0082180200,"Топпер (Bed Story) F 2308091 1,80*2,00",51400,да
0083180200,"Топпер (Bed Story) 7.5 1,80*2,00",67000,да
0086090200,"Наматрасник ""ультрастеп ВАУ!"" 0,90*2,00",18500,да
0086160200,"Наматрасник ""ультрастеп ВАУ!"" 1,60*2,00",22400,да
0086200200,"Наматрасник ""ультрастеп ВАУ!"" 2,00*2,00",24900,да
0089140200,"Наматрасник водонепроницаемый ""Трикотаж Ринг"" (Голдтекс) 1,40*2,00",16300,да
0093090200,"Наматрасник непромокаемый ""ТРИКОТАЖ"" 0,90*2,00",18200,да
0093120200,"Наматрасник непромокаемый ""ТРИКОТАЖ"" 1,20*2,00",19700,да
0093140200,"Наматрасник непромокаемый ""ТРИКОТАЖ"" 1,40*2,00",20700,да
0093160200,"Наматрасник непромокаемый ""ТРИКОТАЖ"" 1,60*2,00",21700,да
0093200200,"Наматрасник непромокаемый ""ТРИКОТАЖ"" 2,00*2,00",23700,да
0094140200,"Наматрасник непромокаемый ""БАМБУК"" (Голдтекс) 1,40*2,00",19500,да
0094200200,"Наматрасник непромокаемый ""БАМБУК"" (Голдтекс) 2,00*2,00",24200,да
0106090200,"Кровать Garda NEW Fortis 230 0,90*2,00",213300,да
0106120200,"Кровать Garda NEW Fortis 230 1,20*2,00",248850,да
0106140200,"Кровать Garda NEW Fortis 230 1,40*2,00",257850,да
0106160200,"Кровать Garda NEW Fortis 230 1,60*2,00",263610,да
0106180200,"Кровать Garda NEW Fortis 230 1,80*2,00",268200,да
0107090200,"Кровать Garda NEW Fortis 960 0,90*2,00",213300,да
0107120200,"Кровать Garda NEW Fortis 960 1,20*2,00",248850,да
0107180200,"Кровать Garda NEW Fortis 960 1,80*2,00",268200,да
0107160200,"Кровать Garda NEW Fortis 960 1,60*2,00",263610,да
0107140200,"Кровать Garda NEW Fortis 960 1,40*2,00",257850,да
0109180200,"Кровать Garda Velutto 08 Серо-бежевый (Велюр Velutto 08, основание стандарт разборное) 1,80*2,00",268200,да
0150180200,"Кровать Venera СТМ (Тедди (кремовый) 1,8 1,80*2,00",311400,да
0151160200,"Кровать Venera СТМ (Тедди (пепельный) 1,60*2,00",302400,да
0151180200,"Кровать Venera СТМ (Тедди (пепельный) 1,80*2,00",311400,да
0152160200,"Кровать Venera СТМ (Тедди (песочный) 1,60*2,00",302400,да
0152180200,"Кровать Venera СТМ (Тедди (песочный) 1,80*2,00",311400,да
0160160200,"Кровать Venera СТМ (Микровелюр (светло-серый) 1,60*2,00",302400,да
0160180200,"Кровать Venera СТМ (Микровелюр (светло-серый) 1,80*2,00",311400,да
0166160200,"Кровать Paradise СТМ (Микровелюр (бежевый) 1,60*2,00",297000,да
0166180200,"Кровать Paradise СТМ (Микровелюр (бежевый) 1,80*2,00",316000,да
0167160200,"Кровать Paradise СТМ (Микровелюр (светло-серый) 1,60*2,00",297000,да
0167180200,"Кровать Paradise СТМ (Микровелюр (светло-серый) 1,80*2,00",316000,да
0170160200,"Кровать Paradise СТМ (Рогожка льняной) 1,60*2,00",297000,да
0170180200,"Кровать Paradise СТМ (Рогожка льняной) 1,80*2,00",316000,да
0173160200,"Кровать Marinella СТМ (Тедди Бежевый) 1,60*2,00",324000,да
0173180200,"Кровать Marinella СТМ (Тедди Бежевый) 1,80*2,00",334000,да
0174160200,"Кровать Marinella СТМ (Тедди белый) 1,60*2,00",324000,да
0174180200,"Кровать Marinella СТМ (Тедди белый) 1,80*2,00",334000,да
0174200200,"Кровать Marinella СТМ (Тедди белый) 2,00*2,00",342000,да
0183160200,"Кровать Vesta (Luma 13 ) основание стандарт неразоброное 1,60*2,00",252900,да
0238090200,"Кровать Марио (one box one bed) 0,90*2,00",126300,да
0238140200,"Кровать Марио (one box one bed) 1,40*2,00",140500,да
0238160200,"Кровать Марио (one box one bed) 1,60*2,00",145400,да
0239090200,"Кровать кованая ""АЗАЛИЯ"" (дерево/орех/M) (FD 850) 0,90*2,00",120900,да
0240090200,"Кровать кованая ""АЗАЛИЯ"" (дерево/ белый/M) (FD 850) 0,90*2,00",131900,да
0240120200,"Кровать кованая ""АЗАЛИЯ"" (дерево/ белый/M) (FD 850) 1,20*2,00",137400,да
0243090200,"Кровать кованая ""ГРАЦИЯ"" (дерево/ белый/L) (FD 881) 0,90*2,00",142900,да
0243120200,"Кровать кованая ""ГРАЦИЯ"" (дерево/ белый/L) (FD 881) 1,20*2,00",148400,да
0244090200,"Кровать кованая ""ГРАЦИЯ"" (дерево/орех/L) (FD 881) 0,90*2,00",142900,да
0244120200,"Кровать кованая ""ГРАЦИЯ"" (дерево/орех/L) (FD 881) 1,20*2,00",148400,да
0250180200,"Матрас ""OPTIMA COMFORT"" (model 666) 1,80*2,00",130500,да
0250160200,"Матрас ""OPTIMA COMFORT"" (model 666) 1,60*2,00",119700,да
0252140200,"Матрас ортопедический ""БАМБУК ЛЮКС"" (жесткий/жесткий) (Bianco 2) 1,40*2,00",161200,да
0252120200,"Матрас ортопедический ""БАМБУК ЛЮКС"" (жесткий/жесткий) (Bianco 2) 1,20*2,00",144000,да
0252160200,"Матрас ортопедический ""БАМБУК ЛЮКС"" (жесткий/жесткий) (Bianco 2) 1,60*2,00",177600,да
0253090200,"Матрас ортопедический ""ДЕТСКИЙ МОНО (МЯЧИК)"" 0,90*2,00",91800,да
0253090190,"Матрас ортопедический ""ДЕТСКИЙ МОНО (МЯЧИК)"" 0,90*1,90",91800,да
0254090200,"Матрас ортопедический ""ДЕТСКИЙ МОНО (ЛЮБЛЮ ТЕБЯ)"" 0,90*2,00",89800,да
0254090190,"Матрас ортопедический ""ДЕТСКИЙ МОНО (ЛЮБЛЮ ТЕБЯ)"" 0,90*1,90",89800,да
0260090200,"Матрас ортопедический ""Lantan"" СМ 0,90*2,00",140400,да
0260140200,"Матрас ортопедический ""Lantan"" СМ 1,40*2,00",189000,да
0264120200,"Матрас анатомический ""МАРИО"" 1,20*2,00",77400,да
0265090200,"Матрас анатомический ""Circle"" 0,90*2,00",100400,да
0267180200,"Матрас ортопедический ""BLACK ROSE Ж/М"" (черный) 1,80*2,00",251400,да
0267160200,"Матрас ортопедический ""BLACK ROSE Ж/М"" (черный) 1,60*2,00",231000,да
0268180200,"Матрас ортопедический ""BLACK ROSE МОНО"" (серый) 1,80*2,00",208400,да
0268160200,"Матрас ортопедический ""BLACK ROSE МОНО"" (серый) 1,60*2,00",192100,да
0270200200,"Матрас ортопедический ""АВАЛОН ПРЕМИУМ"" (ТИТАН) 2,00*2,00",355500,да
0271180200,"Матрас ортопедический ""ТИТАН ПРЕМИУМ"" 1,80*2,00",271600,да
0271160200,"Матрас ортопедический ""ТИТАН ПРЕМИУМ"" 1,60*2,00",250900,да
0273180200,"Матрас ортопедический ""КАРБОН PLUS ПРЕМИУМ"" 1,80*2,00",314200,да
